"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2019","69.803","69.532","69.953","69.255","","0.36%"
"01/08/2019","70.140","69.806","70.240","69.765","","0.48%"
"01/09/2019","70.560","70.110","70.648","70.050","","0.60%"
"01/10/2019","70.420","70.530","70.655","70.318","","-0.20%"
"01/11/2019","70.399","70.430","70.601","70.357","","-0.03%"
"01/14/2019","70.760","70.400","70.950","70.360","","0.51%"
"01/15/2019","71.100","70.750","71.156","70.723","","0.48%"
"01/16/2019","70.980","71.110","71.265","70.934","","-0.17%"
"01/17/2019","71.050","71.146","71.416","70.972","","0.10%"
"01/18/2019","71.210","71.040","71.274","70.987","","0.23%"
"01/21/2019","71.188","71.205","71.538","71.140","","-0.03%"
"01/22/2019","71.260","71.197","71.466","71.165","","0.10%"
"01/23/2019","71.190","71.240","71.370","71.115","","-0.10%"
"01/24/2019","71.000","71.147","71.315","70.955","","-0.27%"
"01/25/2019","70.900","71.040","71.250","70.890","","-0.14%"
"01/28/2019","71.070","70.920","71.196","70.915","","0.24%"
"01/29/2019","71.390","71.085","71.461","71.026","","0.45%"
"01/30/2019","71.235","71.423","71.423","71.123","","-0.22%"
"01/31/2019","70.960","70.959","71.215","70.865","","-0.39%"
"02/01/2019","71.435","71.115","71.485","70.952","","0.67%"
"02/04/2019","71.710","71.469","71.845","71.462","","0.38%"
"02/05/2019","71.530","71.714","71.812","71.528","","-0.25%"
"02/06/2019","71.550","71.520","71.683","71.492","","0.03%"
"02/07/2019","71.300","71.639","71.769","71.271","","-0.35%"
"02/08/2019","71.175","71.395","71.434","71.015","","-0.18%"
"02/11/2019","71.140","71.240","71.301","71.038","","-0.05%"
"02/12/2019","70.535","71.254","71.254","70.515","","-0.85%"
"02/13/2019","70.875","70.541","70.880","70.397","","0.48%"
"02/14/2019","71.020","70.869","71.233","70.800","","0.20%"
"02/15/2019","71.330","71.028","71.464","71.028","","0.44%"
"02/18/2019","71.387","71.335","71.537","71.326","","0.08%"
"02/19/2019","71.300","71.351","71.602","71.251","","-0.12%"
"02/20/2019","71.010","71.320","71.344","70.933","","-0.41%"
"02/21/2019","71.165","71.061","71.280","70.925","","0.22%"
"02/22/2019","71.035","71.195","71.265","71.035","","-0.18%"
"02/25/2019","70.834","71.034","71.102","70.827","","-0.28%"
"02/26/2019","70.960","70.829","71.346","70.809","","0.18%"
"02/27/2019","71.200","71.010","71.491","70.929","","0.34%"
"02/28/2019","70.840","71.231","71.271","70.713","","-0.51%"
"03/01/2019","71.000","70.811","71.000","70.715","","0.23%"
"03/04/2019","70.910","70.815","70.923","70.800","","-0.13%"
"03/05/2019","70.490","70.963","70.975","70.448","","-0.59%"
"03/06/2019","70.080","70.479","70.692","70.022","","-0.58%"
"03/07/2019","70.116","70.151","70.152","69.950","","0.05%"
"03/08/2019","70.012","70.111","70.245","69.827","","-0.15%"
"03/11/2019","69.850","70.028","70.041","69.808","","-0.23%"
"03/12/2019","69.625","69.821","69.821","69.491","","-0.32%"
"03/13/2019","69.529","69.607","69.794","69.419","","-0.14%"
"03/14/2019","69.365","69.525","69.755","69.255","","-0.24%"
"03/15/2019","68.963","69.357","69.372","68.935","","-0.58%"
"03/18/2019","68.625","68.959","68.959","68.431","","-0.49%"
"03/19/2019","69.015","68.619","69.067","68.350","","0.57%"
"03/20/2019","68.790","69.027","69.176","68.731","","-0.33%"
"03/21/2019","68.810","68.565","68.810","68.510","","0.03%"
"03/22/2019","69.170","68.650","69.170","68.540","","0.52%"
"03/25/2019","68.890","69.159","69.176","68.795","","-0.40%"
"03/26/2019","68.996","68.931","69.017","68.779","","0.15%"
"03/27/2019","69.100","69.039","69.187","68.780","","0.15%"
"03/28/2019","69.190","69.124","69.380","68.950","","0.13%"
"03/29/2019","69.185","69.178","69.320","69.042","","-0.01%"
"04/01/2019","69.205","69.356","69.424","69.185","","0.03%"
"04/02/2019","68.920","69.280","69.390","68.720","","-0.41%"
"04/03/2019","68.450","68.730","68.835","68.390","","-0.68%"
"04/04/2019","68.980","68.540","69.220","68.520","","0.77%"
"04/05/2019","69.170","68.992","69.338","68.986","","0.28%"
"04/08/2019","69.555","69.335","69.720","69.335","","0.56%"
"04/09/2019","69.280","69.538","69.740","69.248","","-0.40%"
"04/10/2019","69.150","69.258","69.366","69.090","","-0.19%"
"04/11/2019","69.020","69.164","69.222","68.837","","-0.19%"
"04/12/2019","69.190","69.030","69.390","69.030","","0.25%"
"04/15/2019","69.395","69.174","69.483","69.045","","0.30%"
"04/16/2019","69.530","69.422","69.690","69.422","","0.19%"
"04/17/2019","69.431","69.547","69.570","69.362","","-0.14%"
"04/18/2019","69.395","69.417","69.619","69.330","","-0.05%"
"04/19/2019","69.407","69.416","69.429","69.355","","0.02%"
"04/22/2019","69.700","69.366","69.906","69.366","","0.42%"
"04/23/2019","69.770","69.630","69.840","69.540","","0.10%"
"04/24/2019","69.960","69.779","70.000","69.762","","0.27%"
"04/25/2019","70.170","70.010","70.335","69.920","","0.30%"
"04/26/2019","69.850","70.173","70.247","69.810","","-0.46%"
"04/29/2019","69.817","69.879","69.895","69.797","","-0.05%"
"04/30/2019","69.647","69.831","69.913","69.536","","-0.24%"
"05/01/2019","69.545","69.601","69.603","69.466","","-0.15%"
"05/02/2019","69.410","69.620","69.634","69.320","","-0.19%"
"05/03/2019","69.095","69.436","69.441","69.095","","-0.45%"
"05/06/2019","69.380","69.310","69.485","69.310","","0.41%"
"05/07/2019","69.645","69.421","69.646","69.285","","0.38%"
"05/08/2019","69.720","69.596","69.751","69.448","","0.11%"
"05/09/2019","70.200","69.719","70.276","69.719","","0.69%"
"05/10/2019","70.015","70.091","70.114","69.756","","-0.26%"
"05/13/2019","70.570","70.015","70.651","69.984","","0.79%"
"05/14/2019","70.332","70.596","70.616","70.252","","-0.34%"
"05/15/2019","70.249","70.322","70.442","70.174","","-0.12%"
"05/16/2019","70.130","70.219","70.342","69.966","","-0.17%"
"05/17/2019","70.280","70.220","70.288","70.067","","0.21%"
"05/20/2019","69.609","69.405","69.778","69.373","","-0.95%"
"05/21/2019","69.645","69.817","69.825","69.620","","0.05%"
"05/22/2019","69.650","69.668","69.811","69.614","","0.01%"
"05/23/2019","69.665","69.666","70.065","69.375","","0.02%"
"05/24/2019","69.380","69.699","69.811","69.377","","-0.41%"
"05/27/2019","69.504","69.412","69.633","69.362","","0.18%"
"05/28/2019","69.610","69.516","69.755","69.516","","0.15%"
"05/29/2019","69.845","69.587","70.003","69.579","","0.34%"
"05/30/2019","69.825","69.835","69.935","69.703","","-0.03%"
"05/31/2019","69.580","69.839","69.927","69.580","","-0.35%"
"06/03/2019","69.171","69.618","69.622","69.128","","-0.59%"
"06/04/2019","69.291","69.068","69.343","69.033","","0.17%"
"06/05/2019","69.385","69.334","69.423","69.178","","0.14%"
"06/06/2019","69.165","69.405","69.460","69.165","","-0.32%"
"06/07/2019","69.355","69.146","69.551","69.114","","0.27%"
"06/10/2019","69.535","69.375","69.685","69.375","","0.26%"
"06/11/2019","69.385","69.534","69.534","69.342","","-0.22%"
"06/12/2019","69.375","69.414","69.455","69.257","","-0.01%"
"06/13/2019","69.530","69.379","69.580","69.314","","0.22%"
"06/14/2019","69.833","69.566","69.865","69.530","","0.44%"
"06/17/2019","69.850","69.810","69.982","69.740","","0.02%"
"06/18/2019","69.610","69.868","69.891","69.609","","-0.34%"
"06/19/2019","69.650","69.550","69.808","69.500","","0.06%"
"06/20/2019","69.520","69.490","69.675","69.334","","-0.19%"
"06/21/2019","69.615","69.755","69.760","69.504","","0.14%"
"06/24/2019","69.273","69.629","69.630","69.264","","-0.49%"
"06/25/2019","69.334","69.266","69.439","69.238","","0.09%"
"06/26/2019","69.245","69.320","69.518","69.110","","-0.13%"
"06/27/2019","69.088","69.210","69.353","69.030","","-0.23%"
"06/28/2019","68.950","69.048","69.125","68.866","","-0.20%"
"07/01/2019","68.885","68.944","69.090","68.830","","-0.09%"
"07/02/2019","68.890","68.924","69.075","68.870","","0.01%"
"07/03/2019","68.800","68.885","68.963","68.795","","-0.13%"
"07/04/2019","68.527","68.817","68.914","68.489","","-0.40%"
"07/05/2019","68.450","68.539","68.785","68.385","","-0.11%"
"07/08/2019","68.566","68.582","68.767","68.497","","0.17%"
"07/09/2019","68.565","68.665","68.858","68.513","","0.00%"
"07/10/2019","68.419","68.620","68.695","68.318","","-0.21%"
"07/11/2019","68.410","68.414","68.495","68.280","","-0.01%"
"07/12/2019","68.560","68.460","68.695","68.433","","0.22%"
"07/15/2019","68.545","68.535","68.615","68.477","","-0.02%"
"07/16/2019","68.650","68.540","68.770","68.521","","0.15%"
"07/17/2019","68.846","68.688","68.904","68.640","","0.29%"
"07/18/2019","68.855","68.773","69.005","68.718","","0.01%"
"07/19/2019","68.860","68.810","68.955","68.722","","0.01%"
